area,area_title,occ_code,occ_title,o_group,tot_emp,a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,year
99,U.S.,11-1011,Chief Executives,detailed,205890.0,193850.0,184460.0,62290.0,112790.0,,,2019
99,U.S.,11-1021,General and Operations Managers,detailed,2400280.0,123030.0,100780.0,45050.0,65660.0,157430.0,,2019
99,U.S.,11-1031,Legislators,detailed,52280.0,49440.0,29270.0,17690.0,19070.0,75520.0,100470.0,2019
99,U.S.,11-2011,Advertising and Promotions Managers,detailed,25100.0,141890.0,125510.0,61930.0,86330.0,175940.0,,2019
99,U.S.,11-2021,Marketing Managers,detailed,263680.0,149200.0,136850.0,71010.0,97710.0,185320.0,,2019
99,U.S.,11-2022,Sales Managers,detailed,402600.0,141690.0,126640.0,59810.0,85150.0,177830.0,,2019
99,U.S.,11-2030,Public Relations and Fundraising Managers,detailed,79160.0,132630.0,116180.0,64790.0,84780.0,161230.0,,2019
99,U.S.,11-3010,Administrative Services and Facilities Managers,detailed,307280.0,106550.0,96940.0,55210.0,72220.0,128230.0,166330.0,2019
99,U.S.,11-3021,Computer and Information Systems Managers,detailed,433960.0,156390.0,146360.0,87480.0,113110.0,185610.0,,2019
99,U.S.,11-3031,Financial Managers,detailed,654790.0,147530.0,129890.0,68370.0,92310.0,181980.0,,2019
99,U.S.,11-3051,Industrial Production Managers,detailed,185790.0,115110.0,105480.0,65050.0,82400.0,136880.0,176070.0,2019
99,U.S.,11-3061,Purchasing Managers,detailed,72100.0,128400.0,121110.0,71450.0,92560.0,152890.0,193400.0,2019
99,U.S.,11-3071,"Transportation, Storage, and Distribution Managers",detailed,132040.0,103320.0,94560.0,55850.0,72050.0,124460.0,160500.0,2019
99,U.S.,11-3111,Compensation and Benefits Managers,detailed,16900.0,134210.0,122270.0,69870.0,91430.0,163980.0,,2019
99,U.S.,11-3121,Human Resources Managers,detailed,154800.0,129570.0,116720.0,68300.0,88150.0,156560.0,205720.0,2019
99,U.S.,11-3131,Training and Development Managers,detailed,38510.0,123470.0,113350.0,64720.0,84720.0,152340.0,196070.0,2019
99,U.S.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5060.0,80360.0,71160.0,37530.0,53870.0,99260.0,132760.0,2019
99,U.S.,11-9021,Construction Managers,detailed,293380.0,105000.0,95260.0,56140.0,71900.0,126040.0,164790.0,2019
99,U.S.,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,52360.0,53690.0,48210.0,30850.0,37420.0,62090.0,82590.0,2019
99,U.S.,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,271020.0,100340.0,96400.0,63070.0,76650.0,121500.0,148630.0,2019
99,U.S.,11-9033,"Education Administrators, Postsecondary",detailed,144880.0,112400.0,95410.0,55320.0,70490.0,135070.0,194090.0,2019
99,U.S.,11-9039,"Education Administrators, All Other",detailed,44550.0,92150.0,85450.0,46110.0,61280.0,115990.0,146190.0,2019
99,U.S.,11-9041,Architectural and Engineering Managers,detailed,194250.0,152930.0,144830.0,92510.0,115670.0,179220.0,,2019
99,U.S.,11-9051,Food Service Managers,detailed,235470.0,59820.0,55320.0,33210.0,42260.0,71270.0,93040.0,2019
99,U.S.,11-9071,Gambling Managers,detailed,4450.0,84700.0,74970.0,47160.0,58840.0,97770.0,136650.0,2019
99,U.S.,11-9081,Lodging Managers,detailed,38340.0,63570.0,54430.0,31380.0,40010.0,75130.0,105720.0,2019
99,U.S.,11-9111,Medical and Health Services Managers,detailed,394910.0,115160.0,100980.0,58820.0,76770.0,133520.0,189000.0,2019
99,U.S.,11-9121,Natural Sciences Managers,detailed,67720.0,145450.0,129100.0,66050.0,94940.0,176510.0,,2019
99,U.S.,11-9131,Postmasters and Mail Superintendents,detailed,13850.0,78220.0,76900.0,65370.0,70160.0,86300.0,94880.0,2019
99,U.S.,11-9141,"Property, Real Estate, and Community Association Managers",detailed,220750.0,71720.0,58760.0,31030.0,41630.0,84430.0,129160.0,2019
99,U.S.,11-9151,Social and Community Service Managers,detailed,156460.0,72900.0,67150.0,41220.0,52480.0,88180.0,112480.0,2019
99,U.S.,11-9161,Emergency Management Directors,detailed,10060.0,82530.0,74590.0,40430.0,54050.0,103330.0,141230.0,2019
99,U.S.,11-9171,Funeral Home Managers,detailed,9400.0,95220.0,76350.0,44120.0,57020.0,111310.0,161870.0,2019
99,U.S.,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,472060.0,118710.0,110630.0,53380.0,77100.0,147660.0,191340.0,2019
99,U.S.,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,17060.0,97170.0,73740.0,37300.0,50590.0,120430.0,189420.0,2019
99,U.S.,13-1020,Buyers and Purchasing Agents,detailed,421280.0,69680.0,64380.0,38230.0,49280.0,84630.0,107510.0,2019
99,U.S.,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,287960.0,68940.0,66790.0,41100.0,51030.0,83050.0,100400.0,2019
99,U.S.,13-1032,"Insurance Appraisers, Auto Damage",detailed,13750.0,66240.0,63270.0,44430.0,53430.0,77810.0,93720.0,2019
99,U.S.,13-1041,Compliance Officers,detailed,317600.0,72850.0,69050.0,38920.0,51050.0,91260.0,109950.0,2019
99,U.S.,13-1051,Cost Estimators,detailed,210000.0,71350.0,65250.0,39380.0,51300.0,86080.0,111350.0,2019
99,U.S.,13-1071,Human Resources Specialists,detailed,633040.0,67760.0,61920.0,37180.0,47450.0,81430.0,105930.0,2019
99,U.S.,13-1074,Farm Labor Contractors,detailed,160.0,62060.0,61910.0,33900.0,38640.0,81330.0,95990.0,2019
99,U.S.,13-1075,Labor Relations Specialists,detailed,75580.0,71870.0,69020.0,19230.0,44920.0,94740.0,124380.0,2019
99,U.S.,13-1081,Logisticians,detailed,182050.0,78680.0,74750.0,44020.0,57080.0,96240.0,120400.0,2019
99,U.S.,13-1111,Management Analysts,detailed,709750.0,95560.0,85260.0,49700.0,64060.0,113770.0,154310.0,2019
99,U.S.,13-1121,"Meeting, Convention, and Event Planners",detailed,117610.0,54880.0,50600.0,28590.0,37640.0,65860.0,86390.0,2019
99,U.S.,13-1131,Fundraisers,detailed,81660.0,62830.0,57970.0,33530.0,43940.0,76620.0,100410.0,2019
99,U.S.,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,89300.0,69840.0,64560.0,40140.0,50000.0,82920.0,105600.0,2019
99,U.S.,13-1151,Training and Development Specialists,detailed,312450.0,65640.0,61210.0,32680.0,44680.0,81290.0,104200.0,2019
99,U.S.,13-1161,Market Research Analysts and Marketing Specialists,detailed,678500.0,71570.0,63790.0,34350.0,46800.0,89580.0,122630.0,2019
99,U.S.,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,1279390.0,80220.0,73570.0,39930.0,54110.0,99150.0,128420.0,2019
99,U.S.,13-2011,Accountants and Auditors,detailed,1280700.0,79520.0,71550.0,44480.0,55900.0,94340.0,124450.0,2019
99,U.S.,13-2020,Property Appraisers and Assessors,detailed,56320.0,63610.0,57010.0,31160.0,41980.0,78670.0,104540.0,2019
99,U.S.,13-2031,Budget Analysts,detailed,51460.0,80300.0,76540.0,50230.0,61040.0,96780.0,116510.0,2019
99,U.S.,13-2041,Credit Analysts,detailed,73930.0,84930.0,73650.0,43430.0,55320.0,101860.0,145840.0,2019
99,U.S.,13-2052,Personal Financial Advisors,detailed,210190.0,119290.0,87850.0,42950.0,57780.0,154480.0,,2019
99,U.S.,13-2053,Insurance Underwriters,detailed,100050.0,77640.0,70020.0,42360.0,53510.0,94390.0,124320.0,2019
99,U.S.,13-2061,Financial Examiners,detailed,64550.0,92330.0,81090.0,43500.0,58860.0,114030.0,158200.0,2019
99,U.S.,13-2071,Credit Counselors,detailed,32110.0,50230.0,45950.0,31670.0,37250.0,58470.0,76740.0,2019
99,U.S.,13-2072,Loan Officers,detailed,308370.0,76200.0,63270.0,32560.0,44840.0,92960.0,132680.0,2019
99,U.S.,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,53760.0,60960.0,54890.0,33090.0,41700.0,76850.0,101780.0,2019
99,U.S.,13-2082,Tax Preparers,detailed,66670.0,49550.0,43080.0,21750.0,28450.0,63070.0,87060.0,2019
99,U.S.,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,458510.0,94160.0,81590.0,47230.0,61850.0,109330.0,156150.0,2019
99,U.S.,15-1211,Computer Systems Analysts,detailed,589060.0,96160.0,90920.0,55180.0,70000.0,117120.0,147670.0,2019
99,U.S.,15-1212,Information Security Analysts,detailed,125570.0,104210.0,99730.0,57810.0,75450.0,128640.0,158860.0,2019
99,U.S.,15-1221,Computer and Information Research Scientists,detailed,30780.0,127460.0,122840.0,69990.0,93290.0,154020.0,189780.0,2019
99,U.S.,15-1231,Computer Network Support Specialists,detailed,185430.0,68860.0,63460.0,38990.0,49160.0,83230.0,106420.0,2019
99,U.S.,15-1232,Computer User Support Specialists,detailed,647330.0,56550.0,52270.0,32330.0,40340.0,68060.0,88470.0,2019
99,U.S.,15-1241,Computer Network Architects,detailed,152420.0,115110.0,112690.0,64770.0,85290.0,142610.0,168390.0,2019
99,U.S.,15-1244,Network and Computer Systems Administrators,detailed,354450.0,88410.0,83510.0,52370.0,65460.0,106310.0,132520.0,2019
99,U.S.,15-1245,Database Administrators and Architects,detailed,125460.0,96110.0,93750.0,51800.0,68340.0,120880.0,148060.0,2019
99,U.S.,15-1251,Computer Programmers,detailed,199540.0,92610.0,86550.0,50150.0,65760.0,112120.0,140250.0,2019
99,U.S.,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1406870.0,111620.0,107510.0,64240.0,82430.0,136320.0,164590.0,2019
99,U.S.,15-1257,Web Developers and Digital Interface Designers,detailed,148340.0,82370.0,73760.0,39550.0,53520.0,102900.0,142080.0,2019
99,U.S.,15-1299,"Computer Occupations, All Other",detailed,393160.0,92410.0,88550.0,43780.0,62620.0,117260.0,146440.0,2019
99,U.S.,15-2011,Actuaries,detailed,22260.0,120970.0,108350.0,64860.0,81210.0,148720.0,193600.0,2019
99,U.S.,15-2021,Mathematicians,detailed,2630.0,107280.0,105030.0,58100.0,76170.0,127860.0,162060.0,2019
99,U.S.,15-2031,Operations Research Analysts,detailed,99680.0,90600.0,84810.0,48670.0,62780.0,112680.0,140790.0,2019
99,U.S.,15-2041,Statisticians,detailed,39090.0,95680.0,91160.0,52690.0,68480.0,118790.0,146770.0,2019
99,U.S.,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,30810.0,100560.0,94280.0,52720.0,70090.0,125140.0,158060.0,2019
99,U.S.,17-1011,"Architects, Except Landscape and Naval",detailed,105850.0,89560.0,80750.0,48700.0,62600.0,105600.0,137620.0,2019
99,U.S.,17-1012,Landscape Architects,detailed,20280.0,73970.0,69360.0,42320.0,54600.0,90090.0,112290.0,2019
