series_id,area_code,area_name,area_type,occupation_code,occupation_title,datatype_code,metric,year,period,value,footnote_codes,ingested_at
OEUN000000000000000000001,0000000,U.S. national,N,000000,All occupations,01,employment,2025,A01,155495730.0,,2026-08-25 13:40:00.180732
OEUN000000000000000000004,0000000,U.S. national,N,000000,All occupations,04,annual_mean_wage,2025,A01,69770.0,,2026-08-25 13:40:00.180732
OEUN000000000000000000013,0000000,U.S. national,N,000000,All occupations,13,annual_median_wage,2025,A01,50980.0,,2026-08-25 13:40:00.180732
OEUN000000000000000000003,0000000,U.S. national,N,000000,All occupations,03,hourly_mean_wage,2025,A01,33.54,,2026-08-25 13:40:00.180732
OEUN000000000000000000008,0000000,U.S. national,N,000000,All occupations,08,hourly_median_wage,2025,A01,24.51,,2026-08-25 13:40:00.180732
OEUN000000000000015125201,0000000,U.S. national,N,151252,Software Developers,01,employment,2025,A01,1687890.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125204,0000000,U.S. national,N,151252,Software Developers,04,annual_mean_wage,2025,A01,148100.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125213,0000000,U.S. national,N,151252,Software Developers,13,annual_median_wage,2025,A01,135980.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125203,0000000,U.S. national,N,151252,Software Developers,03,hourly_mean_wage,2025,A01,71.2,,2026-08-25 13:40:00.180732
OEUN000000000000015125208,0000000,U.S. national,N,151252,Software Developers,08,hourly_median_wage,2025,A01,65.38,,2026-08-25 13:40:00.180732
OEUN000000000000015125401,0000000,U.S. national,N,151254,Web Developers,01,employment,2025,A01,70190.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125404,0000000,U.S. national,N,151254,Web Developers,04,annual_mean_wage,2025,A01,98770.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125413,0000000,U.S. national,N,151254,Web Developers,13,annual_median_wage,2025,A01,92650.0,,2026-08-25 13:40:00.180732
OEUN000000000000015125403,0000000,U.S. national,N,151254,Web Developers,03,hourly_mean_wage,2025,A01,47.49,,2026-08-25 13:40:00.180732
OEUN000000000000015125408,0000000,U.S. national,N,151254,Web Developers,08,hourly_median_wage,2025,A01,44.54,,2026-08-25 13:40:00.180732
OEUN000000000000015121101,0000000,U.S. national,N,151211,Computer Systems Analysts,01,employment,2025,A01,519530.0,,2026-08-25 13:40:00.180732
OEUN000000000000015121104,0000000,U.S. national,N,151211,Computer Systems Analysts,04,annual_mean_wage,2025,A01,114610.0,,2026-08-25 13:40:00.180732
OEUN000000000000015121113,0000000,U.S. national,N,151211,Computer Systems Analysts,13,annual_median_wage,2025,A01,105850.0,,2026-08-25 13:40:00.180732
OEUN000000000000015121103,0000000,U.S. national,N,151211,Computer Systems Analysts,03,hourly_mean_wage,2025,A01,55.1,,2026-08-25 13:40:00.180732
OEUN000000000000015121108,0000000,U.S. national,N,151211,Computer Systems Analysts,08,hourly_median_wage,2025,A01,50.89,,2026-08-25 13:40:00.180732
OEUN000000000000011202101,0000000,U.S. national,N,112021,Marketing Managers,01,employment,2025,A01,395240.0,,2026-08-25 13:40:00.180732
OEUN000000000000011202104,0000000,U.S. national,N,112021,Marketing Managers,04,annual_mean_wage,2025,A01,177770.0,,2026-08-25 13:40:00.180732
OEUN000000000000011202113,0000000,U.S. national,N,112021,Marketing Managers,13,annual_median_wage,2025,A01,166790.0,,2026-08-25 13:40:00.180732
OEUN000000000000011202103,0000000,U.S. national,N,112021,Marketing Managers,03,hourly_mean_wage,2025,A01,85.47,,2026-08-25 13:40:00.180732
OEUN000000000000011202108,0000000,U.S. national,N,112021,Marketing Managers,08,hourly_median_wage,2025,A01,80.19,,2026-08-25 13:40:00.180732
OEUN000000000000013111101,0000000,U.S. national,N,131111,Management Analysts,01,employment,2025,A01,898280.0,,2026-08-25 13:40:00.180732
OEUN000000000000013111104,0000000,U.S. national,N,131111,Management Analysts,04,annual_mean_wage,2025,A01,113790.0,,2026-08-25 13:40:00.180732
OEUN000000000000013111113,0000000,U.S. national,N,131111,Management Analysts,13,annual_median_wage,2025,A01,101860.0,,2026-08-25 13:40:00.180732
OEUN000000000000013111103,0000000,U.S. national,N,131111,Management Analysts,03,hourly_mean_wage,2025,A01,54.71,,2026-08-25 13:40:00.180732
OEUN000000000000013111108,0000000,U.S. national,N,131111,Management Analysts,08,hourly_median_wage,2025,A01,48.97,,2026-08-25 13:40:00.180732
OEUN000000000000029206101,0000000,U.S. national,N,292061,Licensed Practical and Licensed Vocational Nurses,01,employment,2025,A01,648410.0,,2026-08-25 13:40:00.180732
